Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05012	Parkinson disease - Mus musculus (house mouse)	61/1003	274/11152	1.52987725009219e-11	5.21688142281435e-09	3.3335220080956e-09	12859/226646/22213/66414/26420/22333/22187/67128/26446/17762/78943/26443/19167/12313/19166/407785/66945/22334/105675/12864/11911/18174/67942/28080/69875/106957/17991/12322/67951/11946/225887/11949/227613/14828/19177/59029/68427/67126/66046/26442/18749/26445/68943/67680/170731/57320/140499/67151/22190/13063/53857/12315/23996/67003/11739/66916/18747/50868/66925/12858/22273	61
consensus__WT_consensus	Organismal Systems	Environmental adaptation	mmu04714	Thermogenesis - Mus musculus (house mouse)	53/1003	238/11152	3.36802691962471e-10	4.28077225013933e-08	2.73535994992697e-08	12859/12912/241113/226646/66414/327826/26397/83796/208501/66272/70127/214663/407785/66945/12864/29857/67942/11515/12856/28080/26416/69875/20662/17991/11946/12894/225887/19091/11949/67126/66046/108097/18749/76947/68493/69893/93760/67680/56717/70673/231430/11958/16890/67605/67003/14081/66916/18747/20586/66925/12858/57279/22273	53
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05017	Spinocerebellar ataxia - Mus musculus (house mouse)	38/1003	141/11152	3.76607529337771e-10	4.28077225013933e-08	2.73535994992697e-08	237336/26420/22333/29869/26446/78943/18750/26443/19167/110616/19166/18708/22334/105675/18044/329015/18797/22030/19177/59029/18798/26442/26445/56717/18707/19664/20239/67151/13063/71722/11652/23996/20190/11937/11739/18709/114896/19883	38
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05020	Prion disease - Mus musculus (house mouse)	57/1003	273/11152	9.84020020911043e-10	8.38877067826664e-08	5.36031958759437e-08	12859/12912/226519/226646/66414/26420/22333/26446/26443/19167/19166/407785/66945/18708/22334/105675/12864/17972/11911/29857/67942/28080/26416/69875/13653/17991/67951/11946/225887/12015/11949/227613/14828/19177/59029/12995/67126/66046/26442/18749/26445/67680/18707/67151/13063/53857/23996/20190/67003/11739/18709/66916/18747/15481/66925/12858/22273	57
consensus__WT_consensus	Human Diseases	Cardiovascular disease	mmu05415	Diabetic cardiomyopathy - Mus musculus (house mouse)	48/1003	216/11152	2.5009557955577e-09	1.70565185257035e-07	1.08989020985357e-07	12859/16367/70456/226646/66414/26420/22333/18604/18750/407785/66945/18708/22334/105675/12864/17972/29857/67942/28080/26416/69875/17991/12322/11946/225887/18797/11949/110854/18798/67126/66046/67680/56717/18707/19046/27273/14433/21803/11652/14936/67003/11937/11739/18709/66916/66925/12858/22273	48
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05010	Alzheimer disease - Mus musculus (house mouse)	71/1003	389/11152	4.32572367334014e-09	2.45845295434831e-07	1.57092070242353e-07	12859/14367/22409/16367/226646/23805/26396/66414/26420/22333/29869/26446/17762/78943/26443/19167/12313/19166/407785/66945/18708/22334/105675/12864/11911/18174/67942/28080/69875/106957/17991/67951/11946/225887/329015/12015/18797/11949/227613/22030/19177/59029/68427/18798/12995/67126/66046/226548/26442/26445/67680/56717/18707/67151/13063/53857/14433/12315/11652/23996/11441/11785/67003/11937/26400/11739/18709/66916/66925/12858/22273	71
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05022	Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)	82/1003	481/11152	7.34974053889183e-09	3.58037360537445e-07	2.28781397225656e-07	12859/226977/14367/22409/226646/22213/23805/26396/66414/26420/22333/26397/29869/22187/13385/67128/26446/17762/78943/18750/26443/19167/12313/110616/19166/407785/66945/22334/105675/12864/54152/11911/29857/67942/28080/26416/69875/17991/12322/67951/11946/225887/329015/12015/18797/11949/227613/22030/14828/19177/21353/59029/18798/12995/67126/66046/26442/26445/68943/67680/170731/56717/57320/140499/20239/67151/22190/13063/53857/12315/53333/23996/20190/11441/67003/11937/26400/11739/66916/66925/12858/22273	82
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05016	Huntington disease - Mus musculus (house mouse)	59/1003	308/11152	1.50549268856424e-08	6.41716258500508e-07	4.10048666490524e-07	12859/226977/12912/226646/237336/66414/26420/22333/29869/13385/26446/78943/26443/19167/19166/407785/66945/22334/105675/12864/69833/54152/67942/12914/28080/20656/69875/17991/67951/11946/225887/329015/18797/11949/227613/22030/19177/59029/18798/21817/67126/66046/26442/26445/433759/67680/56717/67151/13063/53857/23996/67003/11772/26400/11739/66916/66925/12858/22273	59
consensus__WT_consensus	Cellular Processes	Transport and catabolism	mmu04137	Mitophagy - animal - Mus musculus (house mouse)	27/1003	101/11152	1.58397739449893e-07	6.00151435026819e-06	3.83489263931321e-06	26420/22187/17966/382793/11911/68653/28185/21425/69104/22030/84092/12995/17827/68943/68350/170731/100756/22190/66437/231874/75788/94044/12034/53333/67952/17532/72825	27
consensus__WT_consensus	NA	NA	mmu04820	Cytoskeleton in muscle cells - Mus musculus (house mouse)	46/1003	233/11152	2.38765464078399e-07	8.14190232507341e-06	5.20257379623459e-06	78321/17901/13346/98386/11735/380698/77579/13808/21393/208846/67399/24131/18810/22379/17929/170947/11474/20740/71409/16420/241431/22138/20648/118449/109676/56376/22004/21916/433766/242702/15530/12345/13806/58522/24051/68794/12715/233199/11717/21957/17930/11459/22003/70549/13138/17897	46
consensus__WT_consensus	Metabolism	Global and overview maps	mmu01200	Carbon metabolism - Mus musculus (house mouse)	30/1003	123/11152	2.98505118035278e-07	9.25365865909361e-06	5.9129721945744e-06	227095/15926/14194/56012/13808/11430/79459/66945/21881/20916/110821/76282/11429/17850/18563/14718/67680/100198/13806/80911/11409/19895/20917/14433/14751/66171/108682/66925/18746/235582	30
consensus__WT_consensus	Human Diseases	Neurodegenerative disease	mmu05014	Amyotrophic lateral sclerosis - Mus musculus (house mouse)	63/1003	374/11152	6.63449090783853e-07	1.88530116631078e-05	1.20468387537068e-05	12859/226977/108989/226646/69736/66414/103468/22333/26397/29869/26446/78943/26443/19167/19166/218210/407785/66945/12864/54152/11911/29857/67942/28080/26416/69875/17991/67951/72124/11946/225887/329015/12015/11949/227613/22030/269254/74412/14828/19177/21353/59029/67126/66046/26442/72787/26445/68943/67680/56717/20239/67151/13063/53857/53333/23996/67003/66916/71805/234865/66925/12858/22273	63
consensus__WT_consensus	Human Diseases	Endocrine and metabolic disease	mmu04932	Non-alcoholic fatty liver disease - Mus musculus (house mouse)	35/1003	162/11152	7.40830358343808e-07	1.94325501688645e-05	1.24171566135359e-05	12859/241113/16367/226646/66414/26420/20787/78943/407785/66945/18708/12864/11911/29857/26416/69875/17991/225887/22030/20181/22259/66046/108097/67680/18707/58805/13063/21803/11652/67003/18709/66916/66925/12858/22273	35
consensus__WT_consensus	Genetic Information Processing	Folding, sorting and degradation	mmu04120	Ubiquitin mediated proteolysis - Mus musculus (house mouse)	33/1003	156/11152	2.50305040425951e-06	6.09671562751781e-05	3.89572506527608e-05	67923/14897/52717/22213/93765/22187/67128/217232/217342/208650/22196/56424/12211/83814/70093/107568/63958/140499/100763/52206/231380/56317/22190/75788/22200/22192/76375/75430/11796/50868/12402/140630/17999	33
consensus__WT_consensus	Genetic Information Processing	Translation	mmu03013	Nucleocytoplasmic transport - Mus musculus (house mouse)	27/1003	118/11152	4.32538966352764e-06	9.83305250175283e-05	6.28319761649278e-05	108989/20610/69736/103468/78428/66011/16211/218210/56215/57258/20220/16648/70572/19387/19826/22196/53817/56698/72124/74412/72787/67878/320938/71805/234865/68134/331401	27
consensus__WT_consensus	Cellular Processes	Cellular community - eukaryotes	mmu04530	Tight junction - Mus musculus (house mouse)	34/1003	169/11152	5.72951201173287e-06	0.000116195505334668	7.42474752408591e-05	76709/241113/74117/20869/216459/18016/66713/26420/16897/77579/109711/71978/105782/21844/51792/104027/83814/21873/74192/16800/68328/108097/18749/53857/60595/434204/102098/26400/18747/93742/17999/56332/72065/53310	34
consensus__WT_consensus	Human Diseases	Cancer: overview	mmu05208	Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)	42/1003	229/11152	5.79273780260809e-06	0.000116195505334668	7.42474752408591e-05	12859/226646/26396/66414/26420/22333/18035/407785/66945/18708/22334/105675/12864/29857/67942/28080/20656/26416/22339/69875/20662/17991/11946/225887/12015/57344/11949/67126/66046/67680/18707/11652/67003/26400/11739/18709/66916/50868/66925/12858/171429/22273	42
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04910	Insulin signaling pathway - Mus musculus (house mouse)	29/1003	140/11152	1.53611260766269e-05	0.000291007999562765	0.000185950473559168	241113/16367/26396/26420/20787/107476/68401/12313/18708/208650/106628/20662/12015/108097/18749/56717/18707/19046/19085/12315/16890/11652/14936/16332/13685/18709/18747/12402/19087	29
consensus__WT_consensus	Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal - Mus musculus (house mouse)	32/1003	167/11152	3.00435852362046e-05	0.000539203292923462	0.000344544163096641	16367/74747/20869/26396/13144/26420/29869/22187/75909/17966/78943/13039/66795/18708/67474/67841/12211/100502841/329015/12015/21353/18749/56717/18707/22190/11652/67605/18709/18747/13143/17532/18518	32
consensus__WT_consensus	Genetic Information Processing	Translation	mmu03015	mRNA surveillance pathway - Mus musculus (house mouse)	23/1003	104/11152	3.89434870901187e-05	0.000663986454886524	0.000424279043560767	56422/78428/103677/76626/51786/56215/20220/71978/18458/14852/51792/19826/53817/225849/83410/74412/98985/228410/24018/19046/233789/19054/68134	23
consensus__WT_consensus	Metabolism	Carbohydrate metabolism	mmu00640	Propanoate metabolism - Mus musculus (house mouse)	11/1003	31/11152	4.61486712341604e-05	0.000749366518611843	0.000478835836865725	227095/52665/107476/11430/20916/110821/17850/80911/11409/20917/12039	11
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04152	AMPK signaling pathway - Mus musculus (house mouse)	26/1003	127/11152	5.15527310266469e-05	0.000799067330913027	0.000510594034570139	12912/241113/16367/20869/20787/107476/68401/18708/71978/51792/12894/225849/20249/74343/108097/56717/18707/16890/11652/67605/14936/13631/13685/18709/270198/19054	26
consensus__WT_consensus	Organismal Systems	Aging	mmu04213	Longevity regulating pathway - multiple species - Mus musculus (house mouse)	16/1003	61/11152	6.7820831579617e-05	0.00100551754646302	0.000642513141280582	241113/16367/13688/18708/11515/20656/108097/18749/433759/56717/18707/11652/67605/18709/18747/15481	16
consensus__WT_consensus	Genetic Information Processing	Chromosome	mmu03083	Polycomb repressive complex - Mus musculus (house mouse)	20/1003	88/11152	8.16935518219558e-05	0.00111430004685148	0.000712023799037678	68837/22632/104416/52609/12914/69544/21652/19763/225876/228790/77593/29871/54383/433759/69587/381668/17425/12417/13619/13626	20
consensus__WT_consensus	Human Diseases	Cancer: specific types	mmu05210	Colorectal cancer - Mus musculus (house mouse)	20/1003	88/11152	8.16935518219558e-05	0.00111430004685148	0.000712023799037678	23805/17873/26396/26420/56044/23882/18708/72993/20662/17685/12015/21416/19730/56717/18707/13063/21803/11652/18709/17350	20
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04935	Growth hormone synthesis, secretion and action - Mus musculus (house mouse)	24/1003	117/11152	9.57906864535907e-05	0.00125633169541055	0.000802780246797299	12912/16367/26396/14672/26420/26397/18750/18708/11911/29857/12914/11515/26416/20662/18797/18798/18749/56717/18707/11652/18709/18747/16477/234779	24
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04922	Glucagon signaling pathway - Mus musculus (house mouse)	22/1003	104/11152	0.000115086953202728	0.00145350559415297	0.000928771903039557	12912/241113/56012/107476/68401/12313/11911/12914/17691/12322/12894/18797/18798/74343/108097/18749/12315/11652/15469/14936/18747/18746	22
consensus__WT_consensus	Environmental Information Processing	Signal transduction	mmu04012	ErbB signaling pathway - Mus musculus (house mouse)	19/1003	84/11152	0.000130711773065901	0.00159188266483829	0.00101719312122712	26396/26420/18750/18708/208650/20662/12322/12015/56717/18707/11652/70584/18479/26400/13685/18709/234779/12402/17973	19
consensus__WT_consensus	Human Diseases	Cancer: overview	mmu05205	Proteoglycans in cancer - Mus musculus (house mouse)	35/1003	204/11152	0.000139233390294668	0.00163719262380971	0.00104614561854796	14367/22409/14733/11735/26396/327826/18750/13039/18708/29857/21844/26416/22339/22324/20662/12322/12505/109676/18749/15530/56717/18707/19046/19303/232807/21803/11652/29875/18479/11733/18709/18747/234779/12402/17532	35
consensus__WT_consensus	Organismal Systems	Endocrine system	mmu04919	Thyroid hormone signaling pathway - Mus musculus (house mouse)	24/1003	120/11152	0.000144973557808207	0.00164786610708662	0.00105296584092276	20183/216154/26396/72469/18750/18708/21834/12914/54720/53901/12015/18797/20181/18798/17979/18749/433759/56717/18707/11652/11937/18709/18747/234779	24
consensus__WT_consensus	Human Diseases	Cardiovascular disease	mmu05417	Lipid and atherosclerosis - Mus musculus (house mouse)	36/1003	217/11152	0.000224260470347551	0.00246686517382306	0.00157629600549891	15510/20183/26420/26397/78943/18750/18035/12313/18708/17972/66513/11911/29857/20656/26416/22324/12322/12015/18797/22030/20181/14828/21353/18798/16159/18707/76580/13063/12315/11652/26400/18709/16835/15481/18988/17874	36
consensus__WT_consensus	Human Diseases	Infectious disease: bacterial	mmu05132	Salmonella infection - Mus musculus (house mouse)	40/1003	251/11152	0.000247513636993115	0.00263756719420788	0.00168537246242022	226977/76709/74117/240752/170760/70297/26396/66713/26420/26397/280408/18035/11845/56044/19766/16648/66513/29857/66616/26416/67951/21416/227613/22030/74192/69582/18707/20336/13063/53857/17113/14433/11652/18479/26400/11796/13430/17874/17281/67117	40
consensus__WT_consensus	Genetic Information Processing	Translation	mmu03010	Ribosome - Mus musculus (house mouse)	49/1003	328/11152	0.000262186989934119	0.00270926556265257	0.00173118682348844	19989/114641/69527/27370/216767/67212/94064/67036/19942/66128/59054/67281/19946/26961/27367/68193/27393/121022/67681/66211/66973/68463/68565/64657/20044/66419/94063/94067/99045/66481/66230/20091/68436/67427/66448/94061/14548/68499/66493/20103/19935/94065/66163/75617/67891/225215/64655/19944/20102	49
