Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
diffbind__condition_unique_down.TG.vs.WT	Genetic Information Processing	Translation	mmu03010	Ribosome - Mus musculus (house mouse)	24/365	328/11152	0.000195820009455153	0.0355160488428114	0.0336959743176258	66448/66230/66481/67427/75617/19942/68436/114641/20103/66419/14548/68499/64655/68193/20091/27367/69527/68463/66493/64657/94064/94067/59054/66211	24
diffbind__condition_unique_down.TG.vs.WT	NA	NA	mmu04820	Cytoskeleton in muscle cells - Mus musculus (house mouse)	19/365	233/11152	0.000233658216071128	0.0355160488428114	0.0336959743176258	22379/17930/11735/16420/433766/71409/11717/53311/22004/18810/70435/22138/170947/373864/17929/13808/20648/17897/24051	19
diffbind__condition_unique_down.TG.vs.WT	Cellular Processes	Cellular community - eukaryotes	mmu04530	Tight junction - Mus musculus (house mouse)	15/365	169/11152	0.000431224438835182	0.0436974098019651	0.0414580688564351	20869/18747/104027/241113/434204/72065/21844/60595/56173/71978/102098/18016/16897/22323/83814	15
diffbind__condition_unique_up.TG.vs.WT	Human Diseases	Neurodegenerative disease	mmu05014	Amyotrophic lateral sclerosis - Mus musculus (house mouse)	21/245	374/11152	7.66990981378291e-05	0.00950017486328028	0.00873533865107111	19324/12857/66152/56491/17995/13163/19058/67819/19386/13665/12048/68342/72787/433702/67530/226641/67264/12861/13191/19170/74781	21
diffbind__condition_unique_up.TG.vs.WT	Human Diseases	Neurodegenerative disease	mmu05012	Parkinson disease - Mus musculus (house mouse)	17/245	274/11152	0.000114179798087236	0.00950017486328028	0.00873533865107111	12857/14977/66152/17995/13163/22335/57320/13665/12048/68342/16438/67530/226641/67264/12861/108058/19170	17
diffbind__condition_unique_up.TG.vs.WT	Human Diseases	Neurodegenerative disease	mmu05022	Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)	24/245	481/11152	0.00014905363836538	0.00950017486328028	0.00873533865107111	19324/12857/93687/66152/56491/17995/13163/13001/19058/22335/57320/67819/13665/12048/68342/16438/67530/226641/67264/12861/108058/13191/19170/74781	24
diffbind__condition_unique_up.TG.vs.WT	Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum - Mus musculus (house mouse)	13/245	178/11152	0.00015020039309534	0.00950017486328028	0.00873533865107111	15505/66530/67437/56453/67812/67819/14827/13665/66890/77371/22393/69162/226641	13
diffbind__condition_unique_up.TG.vs.WT	Human Diseases	Neurodegenerative disease	mmu05010	Alzheimer disease - Mus musculus (house mouse)	19/245	389/11152	0.000952230565209691	0.0360359526801902	0.0331347848650802	12857/93687/14977/66152/17995/13001/19058/22335/11487/13665/68342/16438/20168/67530/226641/67264/12861/19170/74781	19
diffbind__condition_unique_up.TG.vs.WT	Human Diseases	Cardiovascular disease	mmu05415	Diabetic cardiomyopathy - Mus musculus (house mouse)	13/245	216/11152	0.000965226708573947	0.0360359526801902	0.0331347848650802	12857/55951/66152/17995/210789/22335/68342/67530/67264/19013/12861/108058/18604	13
diffbind__condition_unique_up.TG.vs.WT	Metabolism	Energy metabolism	mmu00190	Oxidative phosphorylation - Mus musculus (house mouse)	10/245	141/11152	0.00108596449027735	0.0360359526801902	0.0331347848650802	12857/66152/17995/68342/67895/27425/67530/11973/67264/12861	10
diffbind__condition_unique_up.TG.vs.WT	Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal - Mus musculus (house mouse)	11/245	167/11152	0.00113947676459099	0.0360359526801902	0.0331347848650802	19324/18607/16783/78610/13144/13665/12048/16438/19349/56418/74781	11
diffbind__condition_unique_up.TG.vs.WT	Metabolism	Metabolism of terpenoids and polyketides	mmu00900	Terpenoid backbone biosynthesis - Mus musculus (house mouse)	4/245	23/11152	0.00144849187303636	0.0407187159864666	0.0374405501685422	14593/208715/52014/110606	4
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Folding, sorting and degradation	mmu04141	Protein processing in endoplasmic reticulum - Mus musculus (house mouse)	90/2177	178/11152	8.54876634186439e-21	2.97497068696881e-18	1.66475976131043e-18	22213/56445/14828/19358/218811/240667/14376/11911/15505/75744/78943/66530/67437/56453/67812/67819/14827/13665/66890/77371/22393/69162/13002/226641/27054/81910/56424/227619/20338/20334/63958/18786/108687/12028/68292/67128/66397/13198/12333/57743/81489/13200/12304/13135/18024/12317/56812/56550/64209/18453/70361/225896/19089/110616/74126/109815/66212/67838/110379/26400/81500/67475/59007/15481/71853/193740/140499/105245/50873/15511/26419/26965/22433/12282/19359/15519/15502/21402/12017/66967/193670/22030/217365/26420/66105/56709/386649/12915/50762/23802	90
diffbind__all_peaks.TG.vs.WT	Human Diseases	Neurodegenerative disease	mmu05012	Parkinson disease - Mus musculus (house mouse)	119/2177	274/11152	5.06885743693172e-20	7.36810132321629e-18	4.12310570113434e-18	22213/407785/14828/11946/66925/225887/66916/26443/68943/17991/12857/18747/67126/11911/14977/66152/17995/59029/13163/12859/78943/22335/57320/22333/13665/12048/68342/22190/16438/67530/226641/67264/28080/53857/12861/69875/106957/11949/11951/68198/108058/19170/66694/67151/22334/68194/230075/56551/12371/170731/12028/19167/67128/14679/18749/16439/13198/12867/67089/407790/12869/66445/70316/18024/12864/57296/26445/12866/67273/67680/67414/227613/19181/18174/69077/19177/17762/30791/67951/22123/67942/21762/19175/66046/12313/22273/12858/26442/140499/50873/22187/66945/105675/68202/26419/12322/12315/23996/12868/26446/66043/22433/67003/22146/11739/66108/226646/50868/68197/66495/26420/12323/68427/19166/14683/66414/228033/12865/56436	119
